Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,X64
Arab World,ARB,Consumer price index (2010 = 100),FP.CPI.TOTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arab World,ARB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1314696811666,38.7002512453528,41.1344949824928,57.2467148496332,49.908726224428,50.7232691164653,45.014774615572,43.5963976905015,39.7068475473413,44.9699205894637,50.52535564624,47.0975533366057,39.4358146168788,34.0559310533781,32.2741178677803,29.5745778344967,24.2805948680023,27.684440274937,27.9745126069046,29.7219306433164,32.3412193716252,28.9646295444692,30.567277710298,28.7362077692641,29.6893226015433,31.4200628427061,32.5662777552869,37.3321431950557,33.1251439551243,36.3349453927676,42.6296840962705,40.87858669682,41.6794367727993,45.6946021238383,49.018768056058,52.8125007499563,53.9442309616749,53.9754383394697,57.2337607106968,47.6901581803921,50.2395501259749,55.2327993550877,56.5152744834948,54.5894235187264,50.9322599810041,43.9221955811578,40.905333817992,43.6182987011548,NA,NA
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,25602178562.5391,28132432225.1838,31705853030.0283,36733034967.5609,43792913097.7754,55448298103.8346,105341592850.765,116516174253.32,144841302607.404,167156343957.551,183563837139.041,248595600128.175,338248771411.719,347656118407.863,326020360664.888,306261791758.792,310632323085.707,307407291560.648,293367374486.247,312752951185.987,307570926002.98,322523097140.702,446901684405.475,440649432072.992,471671634103.682,477133962042.005,487661715245.43,523928956600.448,578398811758.024,613432360792.609,591681589857.127,644050661585.063,735188056517.166,723449066469.795,729231446595.318,823341300650.195,964327345387.531,1185142919458.18,1404653310998.68,1638213879955.77,2078570170452.08,1796199871252.04,2109932335481.52,2501738923095.22,2786787184920.6,2866861303189.56,2908394129857.66,2560753811359.54,2513935702899.65,2586310796347.12,NA,NA
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8200388450737,8.23747493540085,-0.663159193757053,11.5334524415596,9.13924479588648,2.91780745558954,-9.07355319013735,-6.8384456905154,1.36947817418481,-2.29217118472532,4.70543713267921,-0.494230379350583,5.60719890964477,2.36997213542016,13.1115913889419,1.521465798652,4.98867744149744,3.26364988212282,3.2040895859961,2.74478402380952,4.62216822295125,4.28658694961955,5.31772448573579,1.85103939906075,5.46319088353673,1.62352936259889,0.631930346750195,5.30773011635959,9.33603816206812,5.72096730390155,6.48395230150773,4.53497805556256,5.7618592367831,0.465711875562988,4.7494029801008,3.6081085448352,6.69571760881742,3.13511238585016,2.45296580080378,3.34247342966624,3.24239864815364,0.976783043293338,NA,NA
Arab World,ARB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7329661573284,20.5254648368709,20.8995054567998,23.7678430249,23.9711930058533,31.0842241496978,31.0977918333325,36.7015450336501,38.112763499297,35.1990354253823,34.2654190798573,39.3252571366742,42.5652339087999,40.3450173694651,38.7090085015494,34.4560519795377,32.2306142870949,31.2258219335386,32.6604980563773,36.1562900397993,33.7652110333246,40.0583058085907,33.6573364633541,31.7012385012105,29.2243385048264,30.3574058592997,28.8777927324071,30.8570345534902,33.1677863207487,30.0049296152609,28.0965589867842,31.4908882181827,32.0198751622336,34.2845633173376,36.1157863561477,36.388752096431,35.7558756734317,39.6108634475441,40.7878687299604,42.2903235956475,38.4519073900113,37.1203230145056,37.7675129987412,39.7412704059097,42.1805409309386,44.9004867993328,41.7198231664551,40.5628722727636,NA,NA
Arab World,ARB,"Population, total",SP.POP.TOTL,92490932,95044497,97682294,100411076,103239902,106174988,109230593,112406932,115680165,119016542,122398374,125807419,129269375,132863416,136696761,140843298,145332378,150133054,155183724,160392488,165689490,171051950,176490084,182005827,187610756,193310301,199093767,204942549,210844771,216787402,224735446,230829868,235037179,241286091,247435930,255029671,260843462,266575075,272235146,277962869,283832016,289850357,296026575,302434519,309162029,316264728,323773264,331653797,339825483,348145094,356508908,364895878,373306993,381702086,390043028,398304960,406452690,414491886,NA,NA
Caribbean small states,CSS,Consumer price index (2010 = 100),FP.CPI.TOTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,CSS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1875397946.62976,2032981145.31174,2148273316.08583,2284335163.64469,2463816387.94616,2654000174.10142,2881107716.54068,3094416954.66512,3075541564.78655,3350936667.01395,3685611851.95199,4007119730.39279,4627189318.3784,5063035157.25707,6578388620.69736,7686643535.07318,7911417635.53732,9186440943.36252,9421973622.53354,10828656105.221,13327153023.2632,14705712626.4707,16352688950.1052,16560675227.0137,15758053947.0612,15572552894.1938,14171399792.7339,15225050066.5413,16140575006.462,16517580318.8047,17959211147.0321,17763082530.2202,17490762567.9809,18906881922.2238,19904505764.2725,21996669072.3931,24019482918.8773,28143148045.3139,30068485136.3066,31871092686.7793,34177064571.079,35220649366.5483,36957137315.8789,39498589670.4827,43221500667.3951,48878552450.9397,54565407832.5453,60904230941.2576,69102174030.3682,58163115346.8116,63268926036.5313,68351085108.7705,70588397890.6743,71335339138.4765,72495698044.4166,70862033353.6265,67665555626.4245,68823642409.779,NA,NA
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,NA,NA,NA,NA,NA,NA,NA,4.22098095397527,5.98729562541294,5.3474343044682104,4.62736486824976,2.07153007358343,7.67488687492603,-0.650138755889472,-2.98485367980589,-1.22511081284627,1.39712869448583,4.24452824518646,6.10827907894817,5.06247072015051,-0.647481297910844,1.02654733708054,1.42030654721295,-2.63905066346651,0.730476144457711,-0.189569468957032,1.18948032643402,1.719369303127,2.08725110862515,4.16625023479386,0.988986423082423,1.29435639222879,-0.404905195166705,2.81877280441691,2.84995082839626,3.04669491094207,3.36891284503096,3.05675497910116,2.99944550462459,4.10002063710435,3.82074713820397,2.03377185225106,3.65812496690691,5.75543272250469,3.96884682460052,3.72116430792013,6.81297795005872,3.21605098313886,1.24382925102493,-3.55053252150725,1.45940883261557,1.10391875622453,1.31752312119528,0.882457258864292,0.659092483531623,1.05128933398461,-1.86243211150828,0.191942013161352,NA,NA
